,H,OMEGA_M,OMEGA_L,W0,WA,Z,ANGLE,ell0,ell1,ell2,ell3,ell4,ell5,ell6,ell7,ell8,ell9,ell10,ell11,ell12,ell13,ell14,ell15,ell16,ell17,ell18,ell19,ell20,ell21,ell22,ell23,ell24,ell25,ell26,ell27,ell28,ell29,ell30,ell31,ell32,ell33,ell34,ell35,ell36
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.2328270938859163e-08,0.0,0.0,1.3686193246398802e-08,0.0,0.0,8.43857571134426e-09,6.334784723980901e-09,0.0,0.0,3.606427866459192e-09,1.84535271847729e-09,6.433036807737905e-09,5.7742901520830475e-09,2.0962698672768667e-09,3.4788106942797703e-09,3.068555458758436e-09,2.3807948228169532e-09,2.818554677657609e-09,1.6627240061030732e-09,1.9131095991922955e-09,1.6970431571919573e-09,1.550249038335711e-09,1.0933988460092322e-09,1.0188429911043137e-09,7.990895677623813e-10,8.724434100793663e-10,6.411848054736052e-10,5.391985870220391e-10,4.2345610077516005e-10,3.6630632172182783e-10,2.922980304649566e-10,2.442672269623502e-10,2.1535877093922556e-10,1.5275648612045427e-10,1.2498052319791885e-10,1.040220790708177e-10
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,6.583673088864105e-09,0.0,0.0,3.4381546202345045e-09,0.0,0.0,1.4622011639377664e-09,7.67530047088426e-09,0.0,0.0,1.123435083736542e-08,5.497299682402042e-09,3.3427297414329884e-09,3.060911594105313e-09,1.7111267470867237e-09,5.219039372820268e-09,4.802836540560422e-09,2.8509507325356925e-09,2.7675107008836736e-09,3.2716031527374177e-09,1.783101194894485e-09,2.04625419697897e-09,1.4034959536500067e-09,1.2375273243890807e-09,1.0202882389674261e-09,1.1518245630381958e-09,7.436477642111964e-10,6.344979252942461e-10,4.831659464076697e-10,4.125750725877373e-10,3.114529533233055e-10,2.781751798091246e-10,2.0930516110083036e-10,1.6269760122648613e-10,1.4203462998316142e-10,1.0867666546835773e-10,9.121267337837316e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,5.792760203515762e-09,0.0,0.0,6.493963102395942e-09,0.0,0.0,1.1568826953096101e-09,3.679254856345258e-09,0.0,0.0,4.4338555863714554e-09,1.965172415411031e-09,1.877591309579308e-09,3.99350507097577e-09,2.9157497507125924e-09,1.241026514056215e-09,2.3945264510442747e-09,1.8127142886823608e-09,1.9817560284090793e-09,1.5427545237971684e-09,1.0111698035280613e-09,1.3495655698362946e-09,1.1181494707670887e-09,8.403083676426258e-10,6.347532623950616e-10,7.078650407900801e-10,5.926895549988701e-10,3.8261430130363087e-10,3.3723636443427774e-10,3.3710468705717573e-10,2.8931034143425433e-10,2.437083780998853e-10,1.7065058699103508e-10,1.557734613046836e-10,1.2296155208096604e-10,9.598666084596373e-11,8.01715684326706e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.807597876416825e-08,0.0,0.0,1.9632347861347134e-08,0.0,0.0,2.9554954495315467e-09,6.2761960071056145e-09,0.0,0.0,4.438708110661075e-09,6.537878831308638e-09,3.992568648590386e-09,5.547851620076911e-09,3.0137768144310254e-09,3.0055210686160302e-09,1.1026650697758864e-09,2.3188663632746176e-09,2.5212460160170143e-09,1.6464070177703008e-09,1.150129664666195e-09,1.4626152135935894e-09,1.1631715510741702e-09,8.663659746772663e-10,7.794550717223818e-10,7.040473577550045e-10,5.743215569884571e-10,4.815977145556601e-10,3.8471607130952013e-10,3.036431882633421e-10,3.066464770721778e-10,2.3656226847324476e-10,1.8295889346325923e-10,1.6127417601221188e-10,1.330431542723462e-10,1.21811645732643e-10,8.45385291083286e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.9265240154732922e-09,0.0,0.0,9.62224224983019e-09,0.0,0.0,4.8012889125136244e-09,1.586645986685792e-09,0.0,0.0,1.676286572492364e-09,1.7557419981949722e-09,1.4627996734752425e-09,2.749666727481189e-09,3.4806461866755294e-09,2.5818952810269394e-09,1.2237041824755982e-09,2.0602541437710705e-09,9.58727491733249e-10,1.143532550722344e-09,1.0341662587658735e-09,9.350380149608893e-10,9.193270534557139e-10,7.312349635556724e-10,6.016012281217257e-10,6.325217946295698e-10,6.4578369330821e-10,4.5006614018979876e-10,3.4055221009507335e-10,3.6149576642441887e-10,2.6214137790816526e-10,2.140693611667458e-10,1.6500456959145667e-10,1.3140563424591008e-10,1.1718790443138347e-10,8.549844407916479e-11,7.667982999781002e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.522486205931962e-08,0.0,0.0,2.9366714442202115e-09,0.0,0.0,7.900584585893335e-09,4.662655112743927e-09,0.0,0.0,1.1215080396810644e-08,1.0164309391180574e-09,4.360024209118303e-09,1.9420091752520197e-09,2.0702849415058654e-09,2.0080991628994216e-09,1.928261160328443e-09,1.7508328915281162e-09,2.391176302380871e-09,1.6296754727439874e-09,1.1298511083475884e-09,9.68124994958464e-10,9.42503157034523e-10,1.055383836387382e-09,6.67274902788439e-10,6.820160729003458e-10,6.354235079969194e-10,5.015098205165721e-10,3.704646483981958e-10,3.414960176308652e-10,2.686787004700675e-10,2.342396004784549e-10,1.992199845817573e-10,1.4663894766099162e-10,1.298842369874726e-10,1.0150169150821542e-10,7.653830804617747e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.3922440157865566e-08,0.0,0.0,1.2910963565197827e-08,0.0,0.0,4.045327653313172e-09,2.3732230102573472e-09,0.0,0.0,8.0191142891383e-10,3.289744363966913e-09,1.6558607479668636e-09,2.646255874219515e-09,3.0890260868246048e-09,1.54769285488754e-09,2.156401099407748e-09,1.8858396733397576e-09,1.4855474355678371e-09,1.1179667325912069e-09,1.3824444659422288e-09,8.37508443006794e-10,1.0115803326422012e-09,8.204367236490349e-10,5.815738261002825e-10,5.586390526839228e-10,4.900883123107192e-10,3.670868603277917e-10,3.831933552965362e-10,2.836767933770515e-10,2.3633200520911786e-10,2.2052744400722724e-10,1.86938453097074e-10,1.4130775424667364e-10,1.2643264964188897e-10,9.051576751164264e-11,7.967527629266626e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,5.444512433307019e-09,0.0,0.0,2.8913412220535382e-08,0.0,0.0,2.4630248459702916e-09,9.793240676747193e-09,0.0,0.0,2.1269153620075226e-09,3.4644057195431473e-09,2.666380316743516e-09,2.9598556464806584e-09,4.0419469882637145e-09,3.273123347376382e-09,1.7164493022920128e-09,2.400861492912407e-09,1.5988146416811017e-09,1.3510983271237874e-09,1.4073457388748164e-09,1.265637612756914e-09,9.646721352055799e-10,8.824249388222326e-10,7.859657416804022e-10,5.604570810221241e-10,5.707535686237752e-10,5.019732317169164e-10,3.834975153687347e-10,3.799033870122303e-10,2.9064963761334113e-10,2.1811614380532797e-10,1.774741788001518e-10,1.495441500795848e-10,1.0981458782354738e-10,1.0260869450339753e-10,7.465910897873061e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.4600220041198069e-09,0.0,0.0,3.562878195482117e-09,0.0,0.0,5.069256811168666e-09,4.118859797654478e-09,0.0,0.0,7.565987488451734e-09,3.137510874668878e-09,2.515706873036664e-09,3.890631152606422e-09,2.9363291801279235e-09,2.662166431286025e-09,1.7484645011577832e-09,1.8705222737382346e-09,1.0540920705409972e-09,1.793469996369619e-09,1.1282317365234484e-09,1.074663305836482e-09,8.809071527111536e-10,8.816427524588306e-10,7.225904856329235e-10,5.899153991372582e-10,6.601954163252889e-10,5.14011551868373e-10,3.523473501988604e-10,2.915569832999599e-10,2.504821508140906e-10,2.356668033892442e-10,1.7890417182862395e-10,1.4526594241034934e-10,1.0907638215676092e-10,9.61485569878311e-11,8.018215534731703e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,3.53668265299068e-08,0.0,0.0,8.346883568994653e-09,0.0,0.0,6.424575556198291e-09,1.53809103586918e-08,0.0,0.0,2.9065400976741544e-09,2.2152447997834393e-09,2.228664920613219e-09,4.1759840218572306e-09,2.0084435240631907e-09,2.3725955157767543e-09,1.0965185573944353e-09,1.4179598380888846e-09,1.609483887645765e-09,1.850262830238334e-09,1.4519755949241456e-09,9.653081225478792e-10,6.9548164521384e-10,9.985673759115369e-10,6.29453071502629e-10,6.39136087376808e-10,7.586779870522095e-10,4.171643582137135e-10,3.9796257638669125e-10,3.6143787998703535e-10,2.7021735667741e-10,2.4586846665437264e-10,2.045690956777707e-10,1.739615809898343e-10,1.38291351954772e-10,1.0863369934624912e-10,8.395042072649435e-11
